festival,tour,venue,date,event_no,event_name,event_type,game,is_flagship,currency,buy_in_local,buy_in_prize_local,buy_in_fee_local,gtd_local,entries,buy_in_usd,fee_pct,value_ratio,ln_entries
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-01-30,1,APT National Cup,NationalCup,NLH,Y,KRW,850000,734910.0,115090.0,200000000.0,690,590,0.1354,235.29,6.537
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-01-31,9,Mystery Bounty Hunter,MysteryBounty,NLH,Y,KRW,1100000,990000.0,110000.0,400000000.0,991,764,0.1,363.64,6.899
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-01-31,10,APT Super High Roller,SuperHighRoller,NLH,Y,KRW,15000000,14250000.0,750000.0,500000000.0,115,10417,0.05,33.33,4.745
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-01,18,APT Main Event,Main,NLH,Y,KRW,2300000,2070000.0,230000.0,2200000000.0,1718,1597,0.1,956.52,7.449
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-02,33,Superstar Challenge,SuperHighRoller,NLH,Y,KRW,35000000,34000000.0,1000000.0,,49,24306,0.0286,,3.892
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-05,65,Zodiac Classic,HighRoller,NLH,Y,KRW,3600000,3240000.0,360000.0,500000000.0,426,2500,0.1,138.89,6.054
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-06,72,Mini Main Event,MiniMain,NLH,Y,KRW,1200000,1080000.0,120000.0,300000000.0,812,833,0.1,250.0,6.7
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-06,82,Super Hyper Turbo,HyperTurbo,NLH,N,KRW,350000,291690.0,58310.0,,53,243,0.1666,,3.97
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-07,83,Ultra Stack,Deepstack,NLH,N,KRW,1000000,875000.0,125000.0,100000000.0,313,694,0.125,100.0,5.746
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-07,84,APT High Roller,HighRoller,NLH,Y,KRW,5000000,4500000.0,500000.0,,259,3472,0.1,,5.557
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-07,85,Dealer's Choice Masters,Mixed,Mixed,N,KRW,1500000,1350000.0,150000.0,,28,1042,0.1,,3.332
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-07,86,NL Hold'em Freezeout,NLH-Other,NLH,N,KRW,1500000,1350000.0,150000.0,,115,1042,0.1,,4.745
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-07,87,Women's Event,Womens,NLH,N,KRW,300000,250020.0,49980.0,,42,208,0.1666,,3.738
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-07,88,PLO Hi-Lo 5 Card (Big O),PLO,PLO,N,KRW,700000,601580.0,98420.0,,54,486,0.1406,,3.989
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-07,89,Turbo,Turbo,NLH,N,KRW,700000,601580.0,98420.0,,93,486,0.1406,,4.533
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-07,90,Turbo NL Triple Draw Mix,Mixed,Mixed,N,KRW,400000,333360.0,66640.0,,37,278,0.1666,,3.611
APT Jeju Classic 2026,APT,"LES A / Landing Casino, Jeju",2026-02-07,91,Super Hyper Turbo,HyperTurbo,NLH,N,KRW,350000,291690.0,58310.0,,100,243,0.1666,,4.605
